ID,gazebo_label,label,c_map_x,c_map_y,d_map_x,d_map_y,movability,openability,mass_centre,orientation,under_table,x_for_text_viz,y_for_text_viz
1,chair_1,chair_1,-9.25,4.3,0.4,0.4,1,0,c,l,y,-9.1,4.3
2,chair_2,chair_2,-9.25,7.2,0.4,0.4,1,0,c,l,y,-9.1,7.15
3,chair_3,chair_3,-6.85,10.25,0.4,0.4,1,0,c,t,y,-6.8,10
4,chair_4,chair_4,-3.25,10.25,0.4,0.4,1,0,c,t,y,-3.2,10
5,chair_5,chair_5,-1.31,8.4,0.4,0.4,1,0,c,r,y,-1.45,8.3
6,trash_bin_3,trash_bin_3,-5,10.62,0.2,0.2,1,0,na,na,na,-4.97,10.15
7,trash_bin_4,trash_bin_4,-0.9,7.15,0.2,0.2,1,0,na,na,na,-1,6.8
8,trash_bin_2,trash_bin_2,-9.55,8.52,0.2,0.2,1,0,na,na,na,-9.35,8.15
9,trash_bin_1,trash_bin_1,-9.55,2.95,0.2,0.2,1,0,na,na,na,-9.35,2.75
10,table_1,table_1,-3.1,4.2,1.1,1.1,0,0,na,na,na,-3.15,4.2
11,table_2,table_2,-3.1,1.7,2.5,1.1,0,0,na,na,na,-3.15,1.7
12,table_3,table_3,-8,1.7,1.4,0.8,0,0,na,na,na,-7.6,1.5
13,desk_1,desk_1,-9.51,4.3,0.55,1.85,0,0,na,na,na,-9.3,3.7
14,desk_2,desk_2,-9.51,7.2,0.55,1.85,0,0,na,na,na,-9.3,6.7
15,desk_3,desk_3,-6.85,10.48,1.85,0.55,0,0,na,na,na,-6.8,10.35
16,desk_4,desk_4,-3.25,10.48,1.85,0.55,0,0,na,na,na,-3.2,10.35
17,desk_5,desk_5,-1.03,8.4,0.55,1.85,0,0,na,na,na,-1.15,7.8
18,bookshelf_1,bookshelf_1,-7.55,5.7,0.4,5,0,0,na,na,na,-7.4,6
19,bookshelf_2,bookshelf_2,-4.45,8.5,3,0.4,0,0,na,na,na,-4.5,8.35
20,bookshelf_3,bookshelf_3,-2.75,7.57,0.4,2.25,0,0,na,na,na,-2.8,7
21,vase_1,plant_1,-1.1,10.4,0.3,0.3,0,0,na,na,na,-1.15,10.2
22,vase_2,plant_2,-5.65,4.15,0.3,0.3,0,0,na,na,na,-5.65,4.15
23,coffee_machine,coffee_machine,-8.4,1.8,0.3,0.3,0,0,na,na,na,-8,1.9
24,door,door,-9.29,10.97,1,0.15,0,0,na,na,na,-9.29,10.77
25,sofa_1,sofa_1,-3.05,5.85,2.1,1.1,0,0,na,na,na,-3,5.7
26,sofa_2,sofa_2,-1.4,4.25,1.1,2,0,0,na,na,na,-1.5,4.2
27,sofa_3,sofa_3,-4.8,4.25,1.1,2,0,0,na,na,na,-4.8,4.2
28,wall_1,wall_1,-5.24,0.72,9.5,0.15,0,0,c,na,na,-5.29,0.8
29,wall_2,wall_2,-0.56,5.82,0.15,10.3,0,0,c,na,na,-0.61,5.62
30,wall_3,wall_3,-5.24,10.97,9.5,0.15,0,0,c,na,na,-5.29,10.75
31,wall_4,wall_4,-9.89,5.82,0.15,10.3,0,0,c,na,na,-9.8,5.35
32,human_1,human_1,-7.95,9.5,0,0,0,0,c,na,na,-7.95,9.5
33,human_2,human_2,-3.5,7.5,0,0,0,0,c,na,na,-3.5,7.5
34,human_3,human_3,-1.3,1.7,0,0,0,0,c,na,na,-1.3,1.7
35,human_4,human_4,-5.7,3.53,0,0,1,0,c,na,na,-5.75,3.53
36,human_5,human_5,-9.22,5.92,0,0,0,0,c,na,na,-9.22,5.92
37,human_6,human_6,-4.95,1.7,0,0,0,0,c,na,na,-4.95,1.7
